year,hhid,province,district,sector,maize,sorghum,cereals,cassava,sweet_potato,roots,bread,carrot_tubers,cooking_banana,beans_peas,cassava_leaves,vegetables,other_vegetables,ground_nuts,fruits,other_fruits,fish,organ_meat,flesh_meat,eggs,oil,sugar,milk,condiments,o_fcs
2012,9746,EAST,BUGESERA,SHYARA,0,0,1,1,1,0,0,0,1,7,3,0,0,3,3,0,0,0,1,0,7,1,0,7,43.0
2012,9739,EAST,BUGESERA,SHYARA,0,0,0,2,0,0,0,0,1,4,0,0,0,3,0,0,0,0,2,0,6,1,7,7,66.5
2012,9744,EAST,BUGESERA,SHYARA,0,0,0,5,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33.0
2012,9738,EAST,BUGESERA,SHYARA,1,0,0,3,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,5,29.0
2012,9741,EAST,BUGESERA,SHYARA,1,0,0,5,0,0,0,0,1,7,0,0,0,3,0,0,0,0,0,0,5,2,0,5,38.5
2012,9745,EAST,BUGESERA,SHYARA,2,0,0,1,0,0,0,0,5,7,0,0,0,2,0,0,0,0,0,0,4,4,0,5,39.0
2012,9747,EAST,BUGESERA,SHYARA,0,0,0,6,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,6,0,0,6,42.0
2012,9743,EAST,BUGESERA,SHYARA,0,0,2,1,2,0,0,0,1,7,7,0,0,0,0,0,0,0,0,0,7,1,0,7,44.0
2012,9742,EAST,BUGESERA,SHYARA,0,0,5,7,0,0,0,0,3,7,7,0,0,1,0,0,0,0,0,0,7,0,0,7,45.5
2012,9740,EAST,BUGESERA,SHYARA,0,2,2,3,2,0,0,0,0,4,7,0,0,3,0,0,0,0,0,0,7,1,0,7,46.0
2012,9726,EAST,BUGESERA,RWERU,0,0,0,3,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,2,0,3,22.0
2012,9727,EAST,BUGESERA,RWERU,2,2,0,7,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,7,0,0,7,45.5
2012,9716,EAST,BUGESERA,RWERU,3,0,0,7,1,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,7,27.0
2012,9734,EAST,BUGESERA,RWERU,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,7,26.5
2012,9715,EAST,BUGESERA,RWERU,2,0,0,2,0,0,0,0,0,7,3,0,0,1,0,0,0,0,0,0,3,7,0,7,37.0
2012,9718,EAST,BUGESERA,RWERU,3,0,0,3,0,0,0,0,2,7,3,0,0,2,0,0,0,0,1,0,2,0,0,7,43.0
2012,9717,EAST,BUGESERA,RWERU,7,0,0,6,4,0,0,0,2,7,2,0,0,5,0,0,0,1,0,0,7,2,4,7,61.5
2012,9730,EAST,BUGESERA,RWERU,0,0,0,3,0,0,0,0,4,7,0,0,0,3,0,0,0,0,0,0,2,2,0,3,37.0
2012,9721,EAST,BUGESERA,RWERU,4,0,0,2,1,0,0,0,3,7,2,0,0,3,0,0,1,0,0,0,4,3,0,6,44.5
2012,9720,EAST,BUGESERA,RWERU,2,0,0,4,0,0,0,0,2,3,0,0,0,3,0,0,0,0,0,0,2,2,0,3,34.0
2012,9713,EAST,BUGESERA,RWERU,0,0,0,1,0,0,0,0,3,7,3,0,0,0,0,0,2,0,0,0,0,2,0,7,41.0
2012,9732,EAST,BUGESERA,RWERU,4,0,0,5,2,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,2,2,0,3,37.0
2012,9728,EAST,BUGESERA,RWERU,2,0,0,1,0,0,0,0,4,5,0,0,0,2,0,0,0,0,0,0,4,0,0,7,37.0
2012,9714,EAST,BUGESERA,RWERU,0,0,0,7,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,7,0,0,7,27.5
2012,9723,EAST,BUGESERA,RWERU,5,0,0,3,2,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,7,0,0,7,39.5
2012,9733,EAST,BUGESERA,RWERU,1,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,2,0,0,3,30.0
2012,9722,EAST,BUGESERA,RWERU,2,0,2,5,2,0,0,0,0,7,2,0,0,3,0,0,0,0,0,0,7,0,0,7,40.5
2012,9729,EAST,BUGESERA,RWERU,0,0,0,7,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,7,42.0
2012,9725,EAST,BUGESERA,RWERU,2,0,0,7,6,0,0,0,0,7,7,0,0,0,0,0,0,1,0,0,7,0,0,7,49.5
2012,9731,EAST,BUGESERA,RWERU,2,0,0,7,2,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,1,0,0,0,41.5
2012,9691,EAST,BUGESERA,RUHUHA,0,0,0,5,5,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,35.0
2012,9708,EAST,BUGESERA,RUHUHA,0,2,0,3,2,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,5,32.0
2012,9707,EAST,BUGESERA,RUHUHA,0,2,0,2,5,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,2,0,5,33.5
2012,9688,EAST,BUGESERA,RUHUHA,2,2,0,3,4,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,4,0,0,6,34.0
2012,9699,EAST,BUGESERA,RUHUHA,0,0,0,4,3,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,2,0,0,6,33.0
2012,9687,EAST,BUGESERA,RUHUHA,3,2,0,3,2,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,4,3,0,7,32.5
2012,9703,EAST,BUGESERA,RUHUHA,4,0,0,1,1,0,7,0,2,7,7,0,0,0,0,0,0,0,0,0,2,0,0,7,43.0
2012,9705,EAST,BUGESERA,RUHUHA,2,0,0,3,3,0,0,0,3,5,0,0,0,2,0,0,0,0,0,0,3,0,0,6,36.5
2012,9686,EAST,BUGESERA,RUHUHA,4,0,0,2,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,7,0,0,7,32.5
2012,9694,EAST,BUGESERA,RUHUHA,0,0,0,4,0,0,0,0,0,2,6,0,0,2,0,0,2,2,0,0,7,0,0,7,45.5
2012,9700,EAST,BUGESERA,RUHUHA,0,0,0,2,3,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,2,2,0,6,32.0
2012,9702,EAST,BUGESERA,RUHUHA,0,2,3,2,1,0,0,2,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0
2012,9697,EAST,BUGESERA,RUHUHA,0,7,0,7,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,7,0,0,7,45.5
2012,9692,EAST,BUGESERA,RUHUHA,0,0,0,4,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,7,0,0,7,38.5
2012,9689,EAST,BUGESERA,RUHUHA,0,0,0,7,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,3,0,0,7,34.5
2012,9693,EAST,BUGESERA,RUHUHA,0,0,0,3,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,7,0,0,7,32.5
2012,9695,EAST,BUGESERA,RUHUHA,0,0,0,3,5,0,0,0,0,4,7,0,0,0,0,0,0,2,0,0,7,0,0,7,44.5
2012,9701,EAST,BUGESERA,RUHUHA,3,3,2,4,2,0,0,0,4,7,7,0,0,7,0,0,0,3,0,0,7,7,0,7,61.0
2012,9706,EAST,BUGESERA,RUHUHA,0,0,0,4,4,0,0,0,3,3,6,0,0,0,3,0,0,0,0,0,3,0,0,7,33.5
2012,9704,EAST,BUGESERA,RUHUHA,4,0,0,2,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,7,0,5,7,58.5
2012,9677,EAST,BUGESERA,RILIMA,3,0,1,4,2,0,0,0,3,6,0,0,0,0,0,0,1,0,0,0,4,5,6,5,64.5
2012,9676,EAST,BUGESERA,RILIMA,2,0,0,4,2,0,0,0,1,5,0,0,0,2,0,0,0,0,0,0,0,0,0,6,35.0
2012,9678,EAST,BUGESERA,RILIMA,2,0,0,7,0,0,0,0,7,4,6,0,0,7,0,0,0,0,0,0,7,0,0,7,44.5
2012,9680,EAST,BUGESERA,RILIMA,4,0,0,1,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0
2012,9674,EAST,BUGESERA,RILIMA,0,0,0,3,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,4,16.0
2012,9673,EAST,BUGESERA,RILIMA,3,0,0,4,0,0,0,0,0,7,2,0,0,0,2,0,0,0,0,0,7,0,4,7,58.5
2012,9675,EAST,BUGESERA,RILIMA,2,5,0,0,1,0,1,0,4,7,6,0,0,2,0,0,0,0,0,0,7,6,0,7,47.5
2012,9681,EAST,BUGESERA,RILIMA,0,0,0,2,0,0,0,0,3,7,3,0,0,3,0,0,2,0,0,0,7,0,7,7,73.5
2012,9679,EAST,BUGESERA,RILIMA,4,0,0,3,0,0,2,5,2,5,0,6,0,4,0,0,0,0,1,0,6,4,0,5,50.0
2012,9682,EAST,BUGESERA,RILIMA,0,0,0,5,0,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,5,0,4,7,48.5
2012,9670,EAST,BUGESERA,NYARUGENGE,0,0,0,3,0,0,0,0,4,6,1,0,0,0,0,0,0,0,0,0,7,0,0,7,36.5
2012,9667,EAST,BUGESERA,NYARUGENGE,1,1,3,5,1,0,0,0,2,6,1,0,0,2,0,0,0,0,0,0,5,5,0,5,41.0
2012,9655,EAST,BUGESERA,NYARUGENGE,1,0,0,3,4,1,0,0,0,7,0,0,0,6,0,0,0,0,0,0,7,0,0,7,38.5
2012,9653,EAST,BUGESERA,NYARUGENGE,2,0,1,4,2,0,0,0,2,5,0,0,0,2,0,0,0,0,0,0,4,2,0,5,38.0
2012,9649,EAST,BUGESERA,NYARUGENGE,2,0,0,3,0,0,0,0,3,5,0,0,0,2,0,0,0,0,0,0,3,2,0,3,37.5
2012,9657,EAST,BUGESERA,NYARUGENGE,6,6,0,2,3,0,0,0,4,6,1,0,0,4,0,0,2,0,0,0,7,7,0,6,51.0
2012,9648,EAST,BUGESERA,NYARUGENGE,0,0,1,1,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,7,3,0,5,24.0
2012,9665,EAST,BUGESERA,NYARUGENGE,6,0,2,2,1,0,0,0,1,7,7,0,0,2,0,0,0,0,7,0,7,1,0,7,74.0
2012,9663,EAST,BUGESERA,NYARUGENGE,1,0,0,3,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,2,0,4,28.0
2012,9652,EAST,BUGESERA,NYARUGENGE,0,0,0,0,3,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,2,0,0,7,22.0
2012,9666,EAST,BUGESERA,NYARUGENGE,7,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,7,0,0,7,31.5
2012,9651,EAST,BUGESERA,NYARUGENGE,1,0,0,1,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,1,0,0,7,18.5
2012,9656,EAST,BUGESERA,NYARUGENGE,0,0,1,3,2,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,2,0,0,5,27.0
2012,9662,EAST,BUGESERA,NYARUGENGE,0,0,0,2,2,0,0,0,3,7,7,0,0,3,0,0,0,0,0,0,7,0,0,7,45.5
2012,9650,EAST,BUGESERA,NYARUGENGE,3,0,0,4,2,0,0,0,0,7,0,1,0,2,0,0,0,0,0,0,7,0,0,7,39.5
2012,9647,EAST,BUGESERA,NYARUGENGE,0,3,3,3,2,0,0,0,5,7,2,1,0,3,2,0,0,0,0,0,7,7,3,7,59.0
2012,9660,EAST,BUGESERA,NYARUGENGE,5,5,0,2,0,0,1,0,1,7,7,0,0,2,1,0,0,7,0,0,7,1,7,7,103.0
2012,9661,EAST,BUGESERA,NYARUGENGE,7,7,3,1,1,0,3,0,2,6,4,0,0,4,0,0,0,0,0,0,7,1,7,7,71.0
2012,9669,EAST,BUGESERA,NYARUGENGE,0,0,1,4,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,2,3,0,5,37.5
2012,9668,EAST,BUGESERA,NYARUGENGE,3,0,4,2,0,0,4,5,3,7,7,0,0,2,3,0,0,0,1,0,7,7,1,7,60.0
2012,9624,EAST,BUGESERA,NYAMATA,4,7,2,0,1,0,1,0,3,7,7,0,0,7,0,0,0,1,0,2,7,7,0,7,61.0
2012,9630,EAST,BUGESERA,NYAMATA,1,0,0,4,2,0,0,0,4,7,0,0,0,4,0,0,0,0,0,0,0,5,0,6,37.5
2012,9622,EAST,BUGESERA,NYAMATA,0,0,0,3,4,0,0,0,2,7,2,0,0,0,7,0,0,0,0,0,7,0,0,7,47.5
2012,9628,EAST,BUGESERA,NYAMATA,5,2,0,4,2,0,0,0,3,7,0,0,0,3,0,0,0,0,1,0,4,4,0,6,43.0
2012,9629,EAST,BUGESERA,NYAMATA,2,0,0,3,5,0,0,0,0,7,0,0,3,3,0,0,0,0,0,0,5,0,0,5,40.5
2012,9625,EAST,BUGESERA,NYAMATA,3,3,0,3,1,0,0,0,2,7,0,0,0,4,0,0,0,0,0,0,0,3,0,5,36.5
2012,9641,EAST,BUGESERA,NYAMATA,1,0,0,3,0,0,1,0,6,6,6,0,0,0,0,0,0,0,0,0,6,1,7,7,69.5
2012,9642,EAST,BUGESERA,NYAMATA,3,7,3,2,1,0,7,7,4,7,4,1,6,7,4,5,2,4,2,0,7,4,3,7,94.5
2012,9634,EAST,BUGESERA,NYAMATA,0,0,2,1,0,0,7,4,4,5,5,0,0,4,5,0,3,0,3,3,7,7,6,7,104.0
2012,9626,EAST,BUGESERA,NYAMATA,3,7,3,2,0,0,0,3,4,7,7,0,0,7,0,0,0,0,0,1,7,7,0,7,53.0
2012,9643,EAST,BUGESERA,NYAMATA,0,2,0,2,0,0,1,1,1,4,0,0,0,2,0,0,1,0,0,0,6,7,0,7,42.5
2012,9627,EAST,BUGESERA,NYAMATA,1,0,0,3,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,3,0,0,7,17.5
2012,9621,EAST,BUGESERA,NYAMATA,0,0,0,0,7,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,7,25.5
2012,9646,EAST,BUGESERA,NYAMATA,5,4,3,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,7,7,0,7,41.0
2012,9636,EAST,BUGESERA,NYAMATA,1,3,2,0,1,1,0,0,2,7,3,0,0,3,0,0,1,0,0,0,7,5,2,7,56.0
2012,9640,EAST,BUGESERA,NYAMATA,0,0,0,3,2,0,2,1,3,6,0,0,0,5,0,0,0,0,1,0,5,4,2,5,51.5
2012,9644,EAST,BUGESERA,NYAMATA,4,0,1,1,2,0,0,0,2,6,0,0,0,3,0,0,0,0,0,0,5,4,6,5,63.5
2012,9635,EAST,BUGESERA,NYAMATA,3,7,6,6,3,2,7,7,7,7,7,1,6,4,6,0,0,2,0,4,7,7,7,7,107.0
2012,9623,EAST,BUGESERA,NYAMATA,3,1,1,1,1,0,0,0,1,6,0,0,0,2,0,0,0,1,0,0,6,5,0,5,44.5
2012,9639,EAST,BUGESERA,NYAMATA,0,0,0,0,1,0,0,1,2,6,3,0,0,4,0,0,0,0,0,0,6,5,0,5,37.5
2012,9611,EAST,BUGESERA,NTARAMA,3,0,1,4,3,0,0,0,2,6,0,0,0,3,0,0,0,0,1,0,6,2,4,7,59.0
2012,9616,EAST,BUGESERA,NTARAMA,0,2,0,5,4,0,0,0,2,6,0,0,0,2,0,0,0,0,0,0,4,0,0,6,37.0
2012,9613,EAST,BUGESERA,NTARAMA,0,4,0,5,4,0,2,0,2,5,0,0,0,2,0,0,0,0,0,0,7,5,0,6,41.0
2012,9615,EAST,BUGESERA,NTARAMA,2,6,0,3,1,0,0,0,4,7,7,0,0,6,0,0,0,0,0,0,6,6,0,7,48.0
2012,9617,EAST,BUGESERA,NTARAMA,1,0,0,1,7,0,0,2,5,7,0,0,0,0,0,0,0,0,0,2,7,0,0,7,46.5
2012,9612,EAST,BUGESERA,NTARAMA,0,2,0,2,6,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,5,2,3,7,50.5
2012,9614,EAST,BUGESERA,NTARAMA,2,5,1,4,1,3,0,0,4,7,5,0,0,3,0,0,0,0,0,0,7,3,0,7,45.0
2012,9608,EAST,BUGESERA,NTARAMA,3,0,3,2,1,0,0,0,2,7,7,0,0,3,0,0,2,0,0,0,7,0,0,7,53.5
2012,9610,EAST,BUGESERA,NTARAMA,3,3,6,5,2,0,6,6,2,7,7,0,0,4,1,0,0,0,0,0,7,7,7,7,78.0
2012,9609,EAST,BUGESERA,NTARAMA,0,0,0,3,7,0,0,0,0,7,2,0,0,3,0,0,0,0,0,0,7,0,0,6,40.5
2012,9604,EAST,BUGESERA,NGERUKA,0,1,0,2,4,0,0,0,1,5,1,0,0,1,0,0,0,0,0,0,7,0,0,7,36.5
2012,9584,EAST,BUGESERA,NGERUKA,4,0,0,4,3,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,35.0
2012,9603,EAST,BUGESERA,NGERUKA,0,0,2,1,3,0,0,0,3,7,7,0,0,6,0,0,0,1,0,0,7,0,0,6,49.5
2012,9591,EAST,BUGESERA,NGERUKA,0,0,0,4,2,0,0,0,4,6,3,1,0,0,0,0,0,0,0,0,7,0,4,7,55.5
