year,hid,province,district,zone,starch,pulses,meat,vegetables,oil,fruits,milk,sugar,FCS,FCG,FS_final,DDS,GDDS
2018,3010,WEST,KARONGI,WEST CONGO-NILE CREST TEA ZONE,7,7,0,7,7,0,0,0,45.5,3,1,4,1
2018,3011,NORTH,RULINDO,"CENTRAL-NORTHERN HIGHLAND IRISH POTATO, BEANS AND VEGETABLE",7,7,0,7,7,0,0,0,45.5,3,2,4,1
2018,3012,NORTH,GICUMBI,"CENTRAL-NORTHERN HIGHLAND IRISH POTATO, BEANS AND VEGETABLE",4,7,0,0,2,0,0,0,30.0,2,2,3,1
2018,3013,NORTH,GICUMBI,"CENTRAL-NORTHERN HIGHLAND IRISH POTATO, BEANS AND VEGETABLE",4,7,0,4,0,0,0,0,33.0,2,3,3,1
2018,3014,NORTH,GICUMBI,"CENTRAL-NORTHERN HIGHLAND IRISH POTATO, BEANS AND VEGETABLE",7,7,0,7,7,2,7,7,79.0,3,1,6,2
2018,3015,EAST,BUGESERA,BUGESERA CASSAVA ZONE,7,6,0,5,5,2,3,2,54.5,3,1,6,2
2018,3016,NORTH,GICUMBI,"CENTRAL-NORTHERN HIGHLAND IRISH POTATO, BEANS AND VEGETABLE",7,7,0,7,7,7,0,7,56.0,3,2,5,2
2018,3017,NORTH,BURERA,NORTHERN HIGHLAND BEANS AND WHEAT ZONE,7,4,0,7,0,0,0,0,33.0,2,2,3,1
2018,3018,SOUTH,HUYE,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,7,7,0,5,4,0,0,7,45.5,3,2,4,1
2018,3019,NORTH,RULINDO,"CENTRAL-NORTHERN HIGHLAND IRISH POTATO, BEANS AND VEGETABLE",7,7,0,7,7,0,1,0,49.5,3,2,5,2
2018,3020,WEST,RUSIZI,LAKE KIVU COFFEE ZONE,7,7,0,7,3,2,0,5,48.0,3,1,5,2
2018,3021,SOUTH,NYANZA,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,7,0,6,2,3,7,0,73.0,3,2,6,2
2018,3022,NORTH,GICUMBI,"CENTRAL-NORTHERN HIGHLAND IRISH POTATO, BEANS AND VEGETABLE",7,7,0,7,2,0,0,0,43.0,3,1,4,1
2018,3023,NORTH,GICUMBI,"CENTRAL-NORTHERN HIGHLAND IRISH POTATO, BEANS AND VEGETABLE",7,7,0,7,2,0,0,2,44.0,3,1,4,1
2018,3024,SOUTH,NYAMAGABE,WEST CONGO-NILE CREST TEA ZONE,7,7,0,3,3,0,0,0,39.5,3,2,4,1
2018,3025,NORTH,GICUMBI,"CENTRAL-NORTHERN HIGHLAND IRISH POTATO, BEANS AND VEGETABLE",7,3,0,7,7,0,0,0,33.5,2,3,4,1
2018,3026,SOUTH,RUHANGO,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,7,7,0,7,7,0,0,2,46.5,3,1,4,1
2018,3027,KIGALI,GASABO,SOUTHEASTERN PLATEAU BANANA ZONE,7,7,2,7,7,4,7,7,89.0,3,1,7,3
2018,3028,WEST,RUBAVU,NORTHWEST VOLCANIC IRISH POTATO ZONE,7,4,0,3,3,0,0,0,30.5,2,3,4,1
2018,3029,EAST,KAYONZA,SOUTHEASTERN PLATEAU BANANA ZONE,6,4,0,4,0,0,0,1,28.5,2,3,3,1
2018,3030,EAST,BUGESERA,BUGESERA CASSAVA ZONE,7,7,0,6,7,0,0,0,44.5,3,2,4,1
2018,3031,KIGALI,GASABO,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,7,1,6,7,3,7,7,83.0,3,1,7,3
2018,3032,WEST,KARONGI,WEST CONGO-NILE CREST TEA ZONE,7,7,0,7,7,3,0,0,48.5,3,1,5,2
2018,3033,WEST,NGORORERO,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,5,0,0,0,0,0,0,29.0,2,2,2,1
2018,3034,WEST,KARONGI,LAKE KIVU COFFEE ZONE,7,7,0,7,0,0,0,0,42.0,3,2,3,1
2018,3035,SOUTH,NYARUGURU,WEST CONGO-NILE CREST TEA ZONE,7,1,0,5,0,0,0,0,22.0,2,3,3,1
2018,3036,EAST,BUGESERA,BUGESERA CASSAVA ZONE,7,7,0,5,2,0,0,3,42.5,3,1,4,1
2018,3037,NORTH,GAKENKE,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,3,0,3,1,0,0,0,26.5,2,3,4,1
2018,3038,NORTH,GICUMBI,"CENTRAL-NORTHERN HIGHLAND IRISH POTATO, BEANS AND VEGETABLE",4,7,0,7,4,0,0,4,40.0,3,1,4,1
2018,3039,NORTH,RULINDO,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,6,7,0,0,7,7,7,3,73.0,3,1,5,2
2018,3040,SOUTH,NYARUGURU,WEST CONGO-NILE CREST TEA ZONE,7,5,0,5,3,0,0,1,36.0,3,2,4,1
2018,3041,EAST,GATSIBO,EASTERN PLATEAU MIXED AGRICULTURE ZONE,7,3,0,0,5,0,0,0,25.5,2,3,3,1
2018,3042,SOUTH,NYARUGURU,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,7,7,0,4,7,0,7,7,74.0,3,1,5,2
2018,3043,EAST,BUGESERA,BUGESERA CASSAVA ZONE,7,7,0,0,0,0,0,0,35.0,2,3,2,1
2018,3044,EAST,BUGESERA,BUGESERA CASSAVA ZONE,7,7,1,6,7,2,1,2,55.5,3,2,7,3
2018,3045,SOUTH,NYANZA,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,7,7,1,7,7,0,1,4,55.5,3,1,6,2
2018,3046,EAST,BUGESERA,BUGESERA CASSAVA ZONE,7,7,2,7,5,1,7,7,85.0,3,1,7,3
2018,3047,NORTH,MUSANZE,NORTHWEST VOLCANIC IRISH POTATO ZONE,7,7,0,7,0,0,0,0,42.0,3,2,3,1
2018,3048,WEST,KARONGI,LAKE KIVU COFFEE ZONE,7,5,5,4,7,2,2,3,68.0,3,2,7,3
2018,3049,NORTH,GAKENKE,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,3,1,3,7,1,7,0,62.5,3,1,7,3
2018,3050,NORTH,RULINDO,"CENTRAL-NORTHERN HIGHLAND IRISH POTATO, BEANS AND VEGETABLE",1,4,0,5,5,0,0,1,22.0,2,3,4,1
2018,3051,WEST,NYAMASHEKE,LAKE KIVU COFFEE ZONE,7,3,2,5,7,7,2,7,58.0,3,1,7,3
2018,3052,EAST,BUGESERA,BUGESERA CASSAVA ZONE,7,7,1,4,7,7,7,7,85.0,3,1,7,3
2018,3053,SOUTH,GISAGARA,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,7,7,0,7,7,0,0,0,45.5,3,1,4,1
2018,3054,EAST,NYAGATARE,EASTERN AGROPASTORAL ZONE,7,7,0,7,3,0,7,0,71.5,3,1,5,2
2018,3055,EAST,BUGESERA,BUGESERA CASSAVA ZONE,7,7,0,7,5,0,0,2,45.5,3,2,4,1
2018,3056,SOUTH,MUHANGA,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,5,7,0,7,4,0,0,2,41.0,3,2,4,1
2018,3057,NORTH,BURERA,NORTHWEST VOLCANIC IRISH POTATO ZONE,7,7,2,7,7,7,0,7,64.0,3,1,6,2
2018,3058,SOUTH,NYAMAGABE,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,7,2,7,7,0,0,7,57.0,3,1,5,2
2018,3059,WEST,RUBAVU,NORTHWEST VOLCANIC IRISH POTATO ZONE,7,7,0,0,3,0,0,3,38.0,3,2,3,1
2018,3060,SOUTH,GISAGARA,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,7,7,0,7,7,0,0,3,47.0,3,1,4,1
2018,3061,SOUTH,RUHANGO,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,7,7,0,7,7,0,0,7,49.0,3,2,4,1
2018,3062,WEST,KARONGI,LAKE KIVU COFFEE ZONE,6,7,1,7,7,0,7,7,79.0,3,1,6,2
2018,3063,SOUTH,KAMONYI,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,7,7,0,7,7,0,0,4,47.5,3,2,4,1
2018,3064,SOUTH,RUHANGO,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,7,7,2,7,3,2,0,0,53.5,3,2,6,2
2018,3065,SOUTH,NYARUGURU,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,7,0,7,7,3,3,3,62.0,3,2,6,2
2018,3066,WEST,RUBAVU,NORTHWEST VOLCANIC IRISH POTATO ZONE,7,7,0,6,3,1,0,2,44.5,3,1,5,2
2018,3067,SOUTH,MUHANGA,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,7,7,0,7,7,0,0,2,46.5,3,1,4,1
2018,3068,WEST,RUBAVU,NORTHWEST VOLCANIC IRISH POTATO ZONE,7,7,0,4,0,0,0,0,39.0,3,2,3,1
2018,3069,SOUTH,NYARUGURU,WEST CONGO-NILE CREST TEA ZONE,7,7,0,7,2,0,0,0,43.0,3,1,4,1
2018,3070,SOUTH,HUYE,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,7,7,3,7,4,7,0,0,63.0,3,1,6,2
2018,3071,WEST,KARONGI,LAKE KIVU COFFEE ZONE,7,5,2,6,7,2,7,7,80.0,3,1,7,3
2018,3072,NORTH,BURERA,NORTHERN HIGHLAND BEANS AND WHEAT ZONE,7,7,1,7,7,1,7,7,82.0,3,1,7,3
2018,3073,WEST,NGORORERO,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,7,1,7,5,1,3,0,61.5,3,1,7,3
2018,3074,SOUTH,MUHANGA,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,7,0,5,3,0,7,0,69.5,3,2,5,2
2018,3075,SOUTH,NYARUGURU,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,7,7,4,7,7,0,0,7,65.0,3,1,5,2
2018,3076,WEST,NYAMASHEKE,LAKE KIVU COFFEE ZONE,7,7,1,4,7,0,0,0,46.5,3,1,5,2
2018,3077,WEST,NGORORERO,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,7,0,7,5,2,7,0,74.5,3,2,6,2
2018,3078,SOUTH,RUHANGO,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,7,7,0,6,6,0,0,3,45.5,3,1,4,1
2018,3079,EAST,GATSIBO,EASTERN PLATEAU MIXED AGRICULTURE ZONE,7,7,0,7,4,0,0,3,45.5,3,1,4,1
2018,3080,SOUTH,KAMONYI,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,7,7,0,7,7,7,0,7,56.0,3,1,5,2
2018,3081,SOUTH,NYANZA,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,7,7,0,7,4,2,0,0,46.0,3,2,5,2
2018,3082,NORTH,MUSANZE,NORTHERN HIGHLAND BEANS AND WHEAT ZONE,7,7,0,7,2,0,0,0,43.0,3,1,4,1
2018,3083,NORTH,MUSANZE,NORTHWEST VOLCANIC IRISH POTATO ZONE,7,7,0,7,0,0,0,0,42.0,3,1,3,1
2018,3084,SOUTH,MUHANGA,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,7,0,7,7,0,0,0,45.5,3,1,4,1
2018,3085,NORTH,RULINDO,"CENTRAL-NORTHERN HIGHLAND IRISH POTATO, BEANS AND VEGETABLE",7,7,0,3,3,0,4,0,55.5,3,2,5,2
2018,3086,WEST,RUBAVU,NORTHWEST VOLCANIC IRISH POTATO ZONE,7,7,0,7,3,2,0,7,49.0,3,1,5,2
2018,3087,NORTH,GAKENKE,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,7,4,5,7,0,0,0,59.5,3,2,5,2
2018,3088,WEST,KARONGI,WEST CONGO-NILE CREST TEA ZONE,6,6,0,4,4,0,0,1,36.5,3,2,4,1
2018,3089,WEST,RUTSIRO,LAKE KIVU COFFEE ZONE,7,2,0,5,3,0,0,0,26.5,2,3,4,1
2018,3090,SOUTH,NYAMAGABE,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,5,0,7,3,1,3,2,51.5,3,2,6,2
2018,3091,SOUTH,KAMONYI,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,1,5,0,6,4,0,0,0,25.0,2,2,4,1
2018,3092,WEST,KARONGI,LAKE KIVU COFFEE ZONE,1,3,0,7,0,0,0,0,18.0,1,3,3,1
2018,3093,WEST,KARONGI,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,6,4,0,3,1,0,0,0,27.5,2,3,4,1
2018,3094,SOUTH,GISAGARA,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,7,7,0,7,7,0,0,7,49.0,3,1,4,1
2018,3095,SOUTH,GISAGARA,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,7,7,0,7,7,3,0,3,50.0,3,1,5,2
2018,3096,WEST,RUSIZI,LAKE KIVU COFFEE ZONE,7,5,4,7,7,3,0,5,61.0,3,1,6,2
2018,3097,WEST,NYAMASHEKE,LAKE KIVU COFFEE ZONE,7,7,0,7,7,2,2,3,57.0,3,2,6,2
2018,3098,SOUTH,NYAMAGABE,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,7,5,7,7,0,2,0,73.5,3,1,6,2
2018,3099,SOUTH,KAMONYI,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,7,7,3,7,7,3,7,7,92.0,3,1,7,3
2018,3100,NORTH,BURERA,NORTHWEST VOLCANIC IRISH POTATO ZONE,7,7,0,5,2,0,0,0,41.0,3,1,4,1
2018,3101,WEST,NYABIHU,NORTHWEST VOLCANIC IRISH POTATO ZONE,7,4,0,7,1,0,0,0,33.5,2,2,4,1
2018,3102,SOUTH,RUHANGO,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,7,7,0,7,7,2,0,0,47.5,3,2,5,2
2018,3103,NORTH,MUSANZE,NORTHWEST VOLCANIC IRISH POTATO ZONE,7,7,0,7,4,7,1,7,58.5,3,1,6,2
2018,3104,SOUTH,NYAMAGABE,WEST CONGO-NILE CREST TEA ZONE,7,1,0,7,3,0,0,0,25.5,2,2,4,1
2018,3105,WEST,RUBAVU,NORTHWEST VOLCANIC IRISH POTATO ZONE,7,7,0,7,7,2,0,7,51.0,3,1,5,2
2018,3106,WEST,NGORORERO,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,7,0,5,7,3,7,4,76.5,3,1,6,2
2018,3107,SOUTH,NYARUGURU,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,7,0,7,7,0,0,0,45.5,3,2,4,1
2018,3108,WEST,NGORORERO,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,7,0,7,7,2,7,2,76.5,3,1,6,2
2018,3109,EAST,BUGESERA,BUGESERA CASSAVA ZONE,7,7,0,7,7,3,7,7,80.0,3,1,6,2
2018,3110,NORTH,RULINDO,"CENTRAL-NORTHERN HIGHLAND IRISH POTATO, BEANS AND VEGETABLE",4,7,0,6,4,0,0,0,37.0,3,1,4,1
2018,3111,SOUTH,NYARUGURU,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,7,0,4,7,2,0,0,44.5,3,2,5,2
2018,3112,SOUTH,GISAGARA,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,7,7,0,0,2,0,3,3,49.5,3,1,4,1
2018,3113,EAST,BUGESERA,BUGESERA CASSAVA ZONE,7,7,0,7,0,0,0,0,42.0,3,1,3,1
2018,3114,EAST,BUGESERA,BUGESERA CASSAVA ZONE,7,7,0,7,7,7,0,3,54.0,3,1,5,2
2018,3115,SOUTH,MUHANGA,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,4,7,0,5,5,0,0,0,36.5,3,2,4,1
2018,3116,WEST,NYAMASHEKE,LAKE KIVU COFFEE ZONE,7,7,1,6,7,3,0,2,52.5,3,2,6,2
2018,3117,WEST,NGORORERO,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,7,0,7,7,0,0,5,48.0,3,2,4,1
2018,3118,WEST,RUSIZI,LAKE KIVU COFFEE ZONE,7,3,3,7,7,0,0,7,49.0,3,1,5,2
2018,3119,SOUTH,NYARUGURU,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,7,0,0,7,0,3,3,52.0,3,1,4,1
2018,3120,SOUTH,NYAMAGABE,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,7,0,5,5,0,7,0,70.5,3,1,5,2
2018,3121,NORTH,MUSANZE,NORTHWEST VOLCANIC IRISH POTATO ZONE,7,7,0,0,7,1,2,7,51.0,3,1,5,2
2018,3122,NORTH,BURERA,NORTHERN HIGHLAND BEANS AND WHEAT ZONE,7,7,4,7,4,2,5,2,83.0,3,1,7,3
2018,3123,NORTH,MUSANZE,NORTHWEST VOLCANIC IRISH POTATO ZONE,7,7,0,7,1,0,0,0,42.5,3,1,4,1
2018,3124,SOUTH,MUHANGA,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,7,0,7,4,0,3,4,58.0,3,1,5,2
2018,3125,NORTH,MUSANZE,NORTHWEST VOLCANIC IRISH POTATO ZONE,7,7,0,7,2,0,3,1,55.5,3,1,5,2
2018,3126,NORTH,BURERA,NORTHERN HIGHLAND BEANS AND WHEAT ZONE,7,7,1,5,7,3,0,1,51.0,3,1,6,2
2018,3127,WEST,NYAMASHEKE,LAKE KIVU COFFEE ZONE,7,7,4,7,7,3,0,7,68.0,3,2,6,2
2018,3128,NORTH,GAKENKE,NORTHERN HIGHLAND BEANS AND WHEAT ZONE,7,7,0,7,7,3,2,7,60.0,3,1,6,2
2018,3129,WEST,NGORORERO,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,7,2,6,3,0,5,0,70.5,3,1,6,2
2018,3130,WEST,NYABIHU,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,3,0,4,0,0,0,0,27.0,2,3,3,1
2018,3131,SOUTH,NYAMAGABE,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,7,0,7,4,0,0,0,44.0,3,2,4,1
2018,3132,WEST,NYABIHU,NORTHWEST VOLCANIC IRISH POTATO ZONE,7,5,0,7,4,3,1,5,47.5,3,1,6,2
2018,3133,SOUTH,MUHANGA,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,5,4,0,6,4,0,0,3,31.5,2,3,4,1
2018,3134,NORTH,RULINDO,"CENTRAL-NORTHERN HIGHLAND IRISH POTATO, BEANS AND VEGETABLE",7,7,0,6,7,3,0,0,47.5,3,1,5,2
2018,3135,NORTH,RULINDO,"CENTRAL-NORTHERN HIGHLAND IRISH POTATO, BEANS AND VEGETABLE",7,7,0,0,5,0,0,0,37.5,3,1,3,1
2018,3136,SOUTH,KAMONYI,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,7,7,0,7,4,0,0,2,45.0,3,2,4,1
