year,hid,province,district,zone,starch,pulses,meat,vegetables,oil,fruits,milk,sugar,FCS,FCG,FS_final,DDS,GDDS
2018,3010,3,301,2,7,7,0,7,7,0,0,0,45.5,3,1,4,1
2018,3011,4,401,7,7,7,0,7,7,0,0,0,45.5,3,2,4,1
2018,3012,4,405,7,4,7,0,0,2,0,0,0,30.0,2,2,3,1
2018,3013,4,405,7,4,7,0,4,0,0,0,0,33.0,2,3,3,1
2018,3014,4,405,7,7,7,0,7,7,2,7,7,79.0,3,1,6,2
2018,3015,5,507,8,7,6,0,5,5,2,3,2,54.5,3,1,6,2
2018,3016,4,405,7,7,7,0,7,7,7,0,7,56.0,3,2,5,2
2018,3017,4,404,6,7,4,0,7,0,0,0,0,33.0,2,2,3,1
2018,3018,2,204,5,7,7,0,5,4,0,0,7,45.5,3,2,4,1
2018,3019,4,401,7,7,7,0,7,7,0,1,0,49.5,3,2,5,2
2018,3020,3,306,1,7,7,0,7,3,2,0,5,48.0,3,1,5,2
2018,3021,2,201,4,7,7,0,6,2,3,7,0,73.0,3,2,6,2
2018,3022,4,405,7,7,7,0,7,2,0,0,0,43.0,3,1,4,1
2018,3023,4,405,7,7,7,0,7,2,0,0,2,44.0,3,1,4,1
2018,3024,2,205,2,7,7,0,3,3,0,0,0,39.5,3,2,4,1
2018,3025,4,405,7,7,3,0,7,7,0,0,0,33.5,2,3,4,1
2018,3026,2,206,5,7,7,0,7,7,0,0,2,46.5,3,1,4,1
2018,3027,1,102,10,7,7,2,7,7,4,7,7,89.0,3,1,7,3
2018,3028,3,303,3,7,4,0,3,3,0,0,0,30.5,2,3,4,1
2018,3029,5,504,10,6,4,0,4,0,0,0,1,28.5,2,3,3,1
2018,3030,5,507,8,7,7,0,6,7,0,0,0,44.5,3,2,4,1
2018,3031,1,102,4,7,7,1,6,7,3,7,7,83.0,3,1,7,3
2018,3032,3,301,2,7,7,0,7,7,3,0,0,48.5,3,1,5,2
2018,3033,3,305,4,7,5,0,0,0,0,0,0,29.0,2,2,2,1
2018,3034,3,301,1,7,7,0,7,0,0,0,0,42.0,3,2,3,1
2018,3035,2,203,2,7,1,0,5,0,0,0,0,22.0,2,3,3,1
2018,3036,5,507,8,7,7,0,5,2,0,0,3,42.5,3,1,4,1
2018,3037,4,402,4,7,3,0,3,1,0,0,0,26.5,2,3,4,1
2018,3038,4,405,7,4,7,0,7,4,0,0,4,40.0,3,1,4,1
2018,3039,4,401,4,6,7,0,0,7,7,7,3,73.0,3,1,5,2
2018,3040,2,203,2,7,5,0,5,3,0,0,1,36.0,3,2,4,1
2018,3041,5,503,9,7,3,0,0,5,0,0,0,25.5,2,3,3,1
2018,3042,2,203,5,7,7,0,4,7,0,7,7,74.0,3,1,5,2
2018,3043,5,507,8,7,7,0,0,0,0,0,0,35.0,2,3,2,1
2018,3044,5,507,8,7,7,1,6,7,2,1,2,55.5,3,2,7,3
2018,3045,2,201,5,7,7,1,7,7,0,1,4,55.5,3,1,6,2
2018,3046,5,507,8,7,7,2,7,5,1,7,7,85.0,3,1,7,3
2018,3047,4,403,3,7,7,0,7,0,0,0,0,42.0,3,2,3,1
2018,3048,3,301,1,7,5,5,4,7,2,2,3,68.0,3,2,7,3
2018,3049,4,402,4,7,3,1,3,7,1,7,0,62.5,3,1,7,3
2018,3050,4,401,7,1,4,0,5,5,0,0,1,22.0,2,3,4,1
2018,3051,3,307,1,7,3,2,5,7,7,2,7,58.0,3,1,7,3
2018,3052,5,507,8,7,7,1,4,7,7,7,7,85.0,3,1,7,3
2018,3053,2,202,5,7,7,0,7,7,0,0,0,45.5,3,1,4,1
2018,3054,5,502,11,7,7,0,7,3,0,7,0,71.5,3,1,5,2
2018,3055,5,507,8,7,7,0,7,5,0,0,2,45.5,3,2,4,1
2018,3056,2,207,4,5,7,0,7,4,0,0,2,41.0,3,2,4,1
2018,3057,4,404,3,7,7,2,7,7,7,0,7,64.0,3,1,6,2
2018,3058,2,205,4,7,7,2,7,7,0,0,7,57.0,3,1,5,2
2018,3059,3,303,3,7,7,0,0,3,0,0,3,38.0,3,2,3,1
2018,3060,2,202,5,7,7,0,7,7,0,0,3,47.0,3,1,4,1
2018,3061,2,206,5,7,7,0,7,7,0,0,7,49.0,3,2,4,1
2018,3062,3,301,1,6,7,1,7,7,0,7,7,79.0,3,1,6,2
2018,3063,2,208,5,7,7,0,7,7,0,0,4,47.5,3,2,4,1
2018,3064,2,206,5,7,7,2,7,3,2,0,0,53.5,3,2,6,2
2018,3065,2,203,4,7,7,0,7,7,3,3,3,62.0,3,2,6,2
2018,3066,3,303,3,7,7,0,6,3,1,0,2,44.5,3,1,5,2
2018,3067,2,207,5,7,7,0,7,7,0,0,2,46.5,3,1,4,1
2018,3068,3,303,3,7,7,0,4,0,0,0,0,39.0,3,2,3,1
2018,3069,2,203,2,7,7,0,7,2,0,0,0,43.0,3,1,4,1
2018,3070,2,204,5,7,7,3,7,4,7,0,0,63.0,3,1,6,2
2018,3071,3,301,1,7,5,2,6,7,2,7,7,80.0,3,1,7,3
2018,3072,4,404,6,7,7,1,7,7,1,7,7,82.0,3,1,7,3
2018,3073,3,305,4,7,7,1,7,5,1,3,0,61.5,3,1,7,3
2018,3074,2,207,4,7,7,0,5,3,0,7,0,69.5,3,2,5,2
2018,3075,2,203,5,7,7,4,7,7,0,0,7,65.0,3,1,5,2
2018,3076,3,307,1,7,7,1,4,7,0,0,0,46.5,3,1,5,2
2018,3077,3,305,4,7,7,0,7,5,2,7,0,74.5,3,2,6,2
2018,3078,2,206,5,7,7,0,6,6,0,0,3,45.5,3,1,4,1
2018,3079,5,503,9,7,7,0,7,4,0,0,3,45.5,3,1,4,1
2018,3080,2,208,5,7,7,0,7,7,7,0,7,56.0,3,1,5,2
2018,3081,2,201,5,7,7,0,7,4,2,0,0,46.0,3,2,5,2
2018,3082,4,403,6,7,7,0,7,2,0,0,0,43.0,3,1,4,1
2018,3083,4,403,3,7,7,0,7,0,0,0,0,42.0,3,1,3,1
2018,3084,2,207,4,7,7,0,7,7,0,0,0,45.5,3,1,4,1
2018,3085,4,401,7,7,7,0,3,3,0,4,0,55.5,3,2,5,2
2018,3086,3,303,3,7,7,0,7,3,2,0,7,49.0,3,1,5,2
2018,3087,4,402,4,7,7,4,5,7,0,0,0,59.5,3,2,5,2
2018,3088,3,301,2,6,6,0,4,4,0,0,1,36.5,3,2,4,1
2018,3089,3,302,1,7,2,0,5,3,0,0,0,26.5,2,3,4,1
2018,3090,2,205,4,7,5,0,7,3,1,3,2,51.5,3,2,6,2
2018,3091,2,208,5,1,5,0,6,4,0,0,0,25.0,2,2,4,1
2018,3092,3,301,1,1,3,0,7,0,0,0,0,18.0,1,3,3,1
2018,3093,3,301,4,6,4,0,3,1,0,0,0,27.5,2,3,4,1
2018,3094,2,202,5,7,7,0,7,7,0,0,7,49.0,3,1,4,1
2018,3095,2,202,5,7,7,0,7,7,3,0,3,50.0,3,1,5,2
2018,3096,3,306,1,7,5,4,7,7,3,0,5,61.0,3,1,6,2
2018,3097,3,307,1,7,7,0,7,7,2,2,3,57.0,3,2,6,2
2018,3098,2,205,4,7,7,5,7,7,0,2,0,73.5,3,1,6,2
2018,3099,2,208,5,7,7,3,7,7,3,7,7,92.0,3,1,7,3
2018,3100,4,404,3,7,7,0,5,2,0,0,0,41.0,3,1,4,1
2018,3101,3,304,3,7,4,0,7,1,0,0,0,33.5,2,2,4,1
2018,3102,2,206,5,7,7,0,7,7,2,0,0,47.5,3,2,5,2
2018,3103,4,403,3,7,7,0,7,4,7,1,7,58.5,3,1,6,2
2018,3104,2,205,2,7,1,0,7,3,0,0,0,25.5,2,2,4,1
