year,hhid,province,district,zone,starch,pulses,meat,vegetables,oil,fruits,milk,sugar,o_fcs
2018,uuid:674f7c8d-fec0-4da3-a4f5-556e41825b6e,3,301,2,7,7,0,7,7,0,0,0,45.5
2018,uuid:6d4dbca4-9a73-4029-be2f-699c2d65db8c,4,401,7,7,7,0,7,7,0,0,0,45.5
2018,uuid:205acfc7-6e51-4c47-8524-31945bc91745,4,405,7,4,7,0,0,2,0,0,0,30.0
2018,uuid:22b2a07b-fdc1-4df5-8d42-b0b1018e18e1,4,405,7,4,7,0,4,0,0,0,0,33.0
2018,uuid:e2b83c40-91b7-4227-935a-4bce62e5e59f,4,405,7,7,7,0,7,7,2,7,7,79.0
2018,uuid:73cb8004-aa66-4bdb-a497-8c66fb05699c,5,507,8,7,6,0,5,5,2,3,2,54.5
2018,uuid:7d2ef79d-9085-4083-ba66-2deb7c529a43,4,405,7,7,7,0,7,7,7,0,7,56.0
2018,uuid:10e0bcf6-020a-4bfb-923c-5cc0ab9c5211,4,404,6,7,4,0,7,0,0,0,0,33.0
2018,uuid:5383b195-3648-4319-a663-e66150d61b58,2,204,5,7,7,0,5,4,0,0,7,45.5
2018,uuid:afa167ab-311e-4f26-87a5-b614037edb45,4,401,7,7,7,0,7,7,0,1,0,49.5
2018,uuid:1612e85f-2d75-4a8b-a61b-2135ccc3d175,3,306,1,7,7,0,7,3,2,0,5,48.0
2018,uuid:9db87df2-3b7f-4259-9079-18f56e97dd81,2,201,4,7,7,0,6,2,3,7,0,73.0
2018,uuid:c31c614f-9f90-4f13-881c-b29fbcc6cc4d,4,405,7,7,7,0,7,2,0,0,0,43.0
2018,uuid:51ae5cb2-c3a8-4036-abf8-d7e9422f31b0,4,405,7,7,7,0,7,2,0,0,2,44.0
2018,uuid:1eb5c19b-9b43-425f-83c6-8c4faee1dbaa,2,205,2,7,7,0,3,3,0,0,0,39.5
2018,uuid:12c78eb6-32ec-435f-9f35-a07c59c9aaf4,4,405,7,7,3,0,7,7,0,0,0,33.5
2018,uuid:2785f1a6-2d0b-4c7d-8ecb-c2dd01f0f5e7,2,206,5,7,7,0,7,7,0,0,2,46.5
2018,uuid:3fe8442f-a1db-4f7c-a356-8d6ae6a9b3d9,1,102,10,7,7,2,7,7,4,7,7,89.0
2018,uuid:7f70864d-518c-48f3-bdcb-61e1aef66a17,3,303,3,7,4,0,3,3,0,0,0,30.5
2018,uuid:7f413de0-ac06-4d11-af0e-c0cb800aa6f1,5,504,10,6,4,0,4,0,0,0,1,28.5
2018,uuid:13244da9-441a-4ee6-b9c8-1b5e27cdd568,5,507,8,7,7,0,6,7,0,0,0,44.5
2018,uuid:42f480f4-9a5c-4d50-89bb-70236e286333,1,102,4,7,7,1,6,7,3,7,7,83.0
2018,uuid:dc4e89f7-221e-4570-9f34-7b29eedc66a6,3,301,2,7,7,0,7,7,3,0,0,48.5
2018,uuid:32368353-3390-45f9-8ce7-ef161a29b2fb,3,305,4,7,5,0,0,0,0,0,0,29.0
2018,uuid:773d19b3-f0b4-4582-82f5-6402683e0e04,3,301,1,7,7,0,7,0,0,0,0,42.0
2018,uuid:913b33b4-8427-4af7-a172-09465aeca444,2,203,2,7,1,0,5,0,0,0,0,22.0
2018,uuid:5075f824-fa82-4a50-be4d-de7df6cc27a8,5,507,8,7,7,0,5,2,0,0,3,42.5
2018,uuid:62f3dbb5-fc1e-41be-9ce1-a7b08bf8ef96,4,402,4,7,3,0,3,1,0,0,0,26.5
2018,uuid:90bee925-b3e4-4924-9e7a-3459183f1578,4,405,7,4,7,0,7,4,0,0,4,40.0
2018,uuid:99f263f1-b73a-4894-be9e-6ae9f63ef2e5,4,401,4,6,7,0,0,7,7,7,3,73.0
2018,uuid:3ed8cdd8-6c94-42fb-ae51-d54940c66ad9,2,203,2,7,5,0,5,3,0,0,1,36.0
2018,uuid:43ffe744-3284-4cb9-934e-a2fa6f6717c1,5,503,9,7,3,0,0,5,0,0,0,25.5
2018,uuid:19b84cdf-a964-4551-8020-dfd73dc9c5e7,2,203,5,7,7,0,4,7,0,7,7,74.0
2018,uuid:46f4860a-1653-44fc-9d42-92abb6818453,5,507,8,7,7,0,0,0,0,0,0,35.0
2018,uuid:e9b0d6e8-f79a-475b-a224-0b67f4718ee5,5,507,8,7,7,1,6,7,2,1,2,55.5
2018,uuid:d50c3a2a-6010-4d97-93d9-ff90582d4eb4,2,201,5,7,7,1,7,7,0,1,4,55.5
2018,uuid:c22395b2-8158-46c8-87b1-b204bd9400d9,5,507,8,7,7,2,7,5,1,7,7,85.0
2018,uuid:a87dad6f-9c3d-4741-87bc-21febd90891d,4,403,3,7,7,0,7,0,0,0,0,42.0
2018,uuid:b051468f-b111-4ba1-a062-f94e5617ae84,3,301,1,7,5,5,4,7,2,2,3,68.0
2018,uuid:07a6d425-c807-4f92-8080-274140ebc01f,4,402,4,7,3,1,3,7,1,7,0,62.5
2018,uuid:7b70559b-d086-4f2b-ac2c-179653baddf7,4,401,7,1,4,0,5,5,0,0,1,22.0
2018,uuid:d8f9a2ee-3716-4ed9-9a10-2a397652aaa0,3,307,1,7,3,2,5,7,7,2,7,58.0
2018,uuid:12341ed7-273f-4df3-ab80-9a9952b31b02,5,507,8,7,7,1,4,7,7,7,7,85.0
2018,uuid:f19fd4bf-b09b-4ce2-8279-0bcaa49bcc6b,2,202,5,7,7,0,7,7,0,0,0,45.5
2018,uuid:091edd9c-ccba-4c5c-aee9-82e57a21c693,5,502,11,7,7,0,7,3,0,7,0,71.5
2018,uuid:c8d581ee-a1d7-4664-a703-c22e003186fc,5,507,8,7,7,0,7,5,0,0,2,45.5
2018,uuid:db8ba574-8550-446c-9f49-c26f20f6dc88,2,207,4,5,7,0,7,4,0,0,2,41.0
2018,uuid:f58c0577-9f63-46a9-af4d-4a5195647eb4,4,404,3,7,7,2,7,7,7,0,7,64.0
2018,uuid:3d4ed622-3545-4931-a357-f3ed3756d914,2,205,4,7,7,2,7,7,0,0,7,57.0
2018,uuid:f05e57ea-1744-440e-b73c-015091c48b54,3,303,3,7,7,0,0,3,0,0,3,38.0
2018,uuid:e5d798b8-9057-401d-bd79-ee993592b74d,2,202,5,7,7,0,7,7,0,0,3,47.0
2018,uuid:0f0d908e-f48c-4536-b143-53e24fb92a9a,2,206,5,7,7,0,7,7,0,0,7,49.0
2018,uuid:c0b3ae63-0a65-4dc5-ba9e-4c68d9927cb6,3,301,1,6,7,1,7,7,0,7,7,79.0
2018,uuid:71b33c19-fe4c-4cb0-a278-8024a119a133,2,208,5,7,7,0,7,7,0,0,4,47.5
2018,uuid:bad82ab6-39e2-4148-a852-6514ccef7b18,2,206,5,7,7,2,7,3,2,0,0,53.5
2018,uuid:2b7c7542-2949-40bc-9008-29d491da69e6,2,203,4,7,7,0,7,7,3,3,3,62.0
2018,uuid:51b27c2c-45db-494f-9aed-bb52c3307758,3,303,3,7,7,0,6,3,1,0,2,44.5
2018,uuid:c0fa0f12-e5c4-4253-b14e-9cebf71c0ce7,2,207,5,7,7,0,7,7,0,0,2,46.5
2018,uuid:1948fa42-12a1-4ba3-b67a-223542988799,3,303,3,7,7,0,4,0,0,0,0,39.0
2018,uuid:846ad208-eda8-424b-baf4-c33383681ec7,2,203,2,7,7,0,7,2,0,0,0,43.0
2018,uuid:941cb2b2-2285-43a9-ba2f-8bfe7789a236,2,204,5,7,7,3,7,4,7,0,0,63.0
2018,uuid:e8ca1cba-e46c-40d0-b829-1f2d8e20a6b7,3,301,1,7,5,2,6,7,2,7,7,80.0
2018,uuid:6b8ae45b-5897-49aa-b34b-084e6e86cb1b,4,404,6,7,7,1,7,7,1,7,7,82.0
2018,uuid:aa13d6cb-40a2-4252-bdaf-c531557ac8a2,3,305,4,7,7,1,7,5,1,3,0,61.5
2018,uuid:4245e33b-314b-41a5-ab19-02568a22a394,2,207,4,7,7,0,5,3,0,7,0,69.5
2018,uuid:c4161c86-63da-4985-891f-2ac2c3cc9cfb,2,203,5,7,7,4,7,7,0,0,7,65.0
2018,uuid:676ddb94-7666-4bff-9f85-1d0b6a8156c8,3,307,1,7,7,1,4,7,0,0,0,46.5
2018,uuid:f5e7b0c8-7f85-4377-a1dc-3c7013d61b76,3,305,4,7,7,0,7,5,2,7,0,74.5
2018,uuid:a24a9c2b-001e-4ad2-b349-a96042955958,2,206,5,7,7,0,6,6,0,0,3,45.5
2018,uuid:03554212-3841-48fd-b53e-a124dda74a6b,5,503,9,7,7,0,7,4,0,0,3,45.5
2018,uuid:9812d191-d1fb-42c2-808e-b358904efe3c,2,208,5,7,7,0,7,7,7,0,7,56.0
2018,uuid:77d7307c-3829-4c11-9179-729f7e7b2f12,2,201,5,7,7,0,7,4,2,0,0,46.0
2018,uuid:7efb049c-88af-445b-a2cf-2e7bd555118a,4,403,6,7,7,0,7,2,0,0,0,43.0
2018,uuid:a00c4fbd-09c9-466c-a040-8782ef5b3def,4,403,3,7,7,0,7,0,0,0,0,42.0
2018,uuid:84a6c702-356f-41bf-ae56-db74a8de8966,2,207,4,7,7,0,7,7,0,0,0,45.5
2018,uuid:9e31104b-464c-4d43-b9fc-f34277196e01,4,401,7,7,7,0,3,3,0,4,0,55.5
2018,uuid:7e07c394-3697-4325-8652-6e5b57363fef,3,303,3,7,7,0,7,3,2,0,7,49.0
